 ,Area,Mean,Min,Max,X,Y
1,0,12,12,12,40.500,194.500
2,0,13,13,13,277.500,155.833
3,0,9,9,9,306.500,151.833
4,0,12,12,12,311.167,166.167
5,0,10,10,10,502.500,183.000
6,0,9,9,9,595.000,131.000
7,0,3,3,3,561.500,238.500
8,0,2,2,2,500.000,206.000
9,0,9,9,9,422.500,215.167
10,0,2,2,2,390.500,221.500
11,0,2,2,2,207.167,219.167
12,0,12,12,12,183.167,217.500
13,0,11,11,11,103.833,200.833
14,0,5,5,5,77.500,206.500
15,0,11,11,11,47.833,207.167
16,0,1,1,1,206.167,153.167
17,0,14,14,14,269.500,87.833
18,0,11,11,11,286.500,154.833
19,0,11,11,11,470.500,199.833
20,0,10,10,10,596.500,122.000
21,0,11,11,11,567.167,270.167
22,0,11,11,11,473.833,212.167
23,0,11,11,11,367.167,241.500
24,0,11,11,11,339.167,249.833
25,0,0,0,0,215.500,244.833
26,0,1,1,1,193.500,268.833
27,0,11,11,11,94.000,232.250
28,0,11,11,11,66.750,225.000
